0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0	0
0	1	0
-0.026	0.649	0.76
0.591	-0.766	0.252
-0.236	-0.524	0.818
-0.893	-0.259	0.368
0.796	0.129	0.591
0.234	0.93	0.284
0.936	0.14	0.324
0.506	-0.845	-0.175
0.346	-0.847	-0.402
0.457	-0.631	-0.627
-0.487	-0.389	0.782
-0.618	0.673	0.407
-0.577	-0.105	-0.81
-0.827	-0.521	0.213
0.894	-0.04	-0.447
0.29	-0.541	-0.789
0.116	-0.963	-0.245
-0.8	0.403	-0.444
0.514	0.84	0.174
-0.789	0.153	-0.596
0.949	-0.233	0.211
0.233	0.783	0.577
-0.021	-0.188	-0.982
0.217	-0.956	0.199
0.774	-0.604	0.19
-0.161	0.356	0.921
-0.147	0.731	-0.666
0.888	0.417	0.193
-0.562	0.232	-0.794
-0.381	0.143	0.914
-0.306	-0.199	-0.931
-0.332	-0.13	0.934
-0.963	-0.265	0.044
-0.959	0.205	0.193
0.453	-0.889	0.068
-0.773	0.628	0.088
0.709	0.408	0.575
-0.693	0.024	0.721
0.682	0.529	-0.506
-0.142	-0.725	0.674
-0.74	0.388	0.549
-0.103	0.822	0.56
0.584	-0.596	0.551
-0.088	-0.335	0.938
-0.552	-0.792	0.259
0.838	-0.458	-0.296
0.363	-0.561	0.744
-0.184	0.392	-0.901
-0.721	-0.693	0.009
0.433	0.682	-0.589
0.502	0.69	0.521
-0.171	-0.509	-0.844
0.463	0.423	0.779
0.385	-0.809	0.444
-0.713	-0.247	0.656
0.26	0.885	-0.387
0.001	0.077	-0.997
0.037	-0.902	0.43
0.57	-0.303	-0.763
-0.282	0.145	-0.948
0.721	0.608	0.332
0.267	0.96	-0.085
